IIOCFURLAccess;[IOURLError, IOURLError]
ICalCalendarStore;[CalSpan, CalSpan]
IXGAuthenticator;[XGAuthenticatorState, XGAuthenticatorState]
IIOHIDTypes;[NXMouseButton, EvCmd, NXMouseButton, EvCmd]
IDirServicesTypes;[tDirStatus, tDirPatternMatch, tDirStatus, tDirPatternMatch]
Iip_fw2;[ipfw_opcodes, ipfw_opcodes]
IOSAScriptController;[OSAScriptState, OSAScriptState]
IIOFireWireSerialBusProtocolTransport;[SBP2LoginState, SBP2LoginState]
IBluetoothAssignedNumbers;[SDPServiceClasses, SDPAttributeIdentifierCodes, SDPAttributeDeviceIdentificationRecord, ProtocolParameters, SDPServiceClasses, SDPAttributeIdentifierCodes, SDPAttributeDeviceIdentificationRecord, ProtocolParameters]
IICCommonConstants;[ICReturnCode, ICReturnCode]
IWebEditingDelegate;[WebViewInsertAction, WebViewInsertAction]
Iglsmap;[SphereMapFlags, SphereMapFlags]
IIOUSBCommand;[usbCommand, usbCommand]
Ivnode;[vtype, vtagtype, vtype, vtagtype]
IIOPCIATA;[ATADMAState, ATADMAState]
Ikdp_callout;[kdp_event_t, kdp_event_t]
IIOSCSIParallelInterfaceController;[SCSIParallelFeature, , , SCSIParallelMessages, SCSIParallelFeature, , , SCSIParallelMessages]
INSGeometry;[NSRectEdge, NSRectEdge]
IDrawSprocket;[DSpDepthMask, , DSpColorNeeds, , DSpContextState, , DSpContextOption, , DSpAltBufferOption, , DSpBufferKind, , DSpBlitMode, , DSpDepthMask, , DSpColorNeeds, , DSpContextState, , DSpContextOption, , DSpAltBufferOption, , DSpBufferKind, , DSpBlitMode, ]
ICGError;[_CGError, _CGError]
Ix509defs;[CSSM_X509EXT_DATA_FORMAT, CSSM_X509EXT_DATA_FORMAT]
INSPreferencePane;[NSPreferencePaneUnselectReply, NSPreferencePaneUnselectReply]
IInstallerPane;[InstallerSectionDirection, InstallerSectionDirection]
IXGConnection;[XGConnectionState, XGConnectionState]
ISFAuthorizationView;[SFAuthorizationViewState, SFAuthorizationViewState]
IIODVDTypes;[DVDKeyClass, , DVDKeyFormat, , DVDKeyClass, , DVDKeyFormat, ]
Inpruntime;[NPVariantType, NPVariantType]
IIOFireWireNub;[TerminationState, TerminationState]
IIOKernelDebugger;[IODebuggerLockState, IODebuggerLockState]
Ieisl;[ISL_STATUS, ISL_STATUS]
IISyncChange;[__ISyncChangeType, __ISyncChangeType]
IWebJavaPlugIn;[WebJNIReturnType, WebJNIReturnType]
ICGPDFObject;[CGPDFObjectType, , CGPDFObjectType, ]
IIOAudioDevice;[IOAudioDevicePowerState, IOAudioDevicePowerState]
ICalRecurrenceRule;[CalRecurrenceType, CalRecurrenceType]
IIODMACommand;[MappingOptions, SynchronizeOptions, MappingOptions, SynchronizeOptions]
IIOHIDParameter;[IOHIDButtonModes, evsioEVSIOSCSIndices, evsioEVSIOCCSIndices, IOHIDButtonModes, evsioEVSIOSCSIndices, evsioEVSIOCCSIndices]
IAXValue;[AXValueType, AXValueType]
IIOBluetoothHCIRequest;[BluetoothHCIRequestStates, BluetoothHCIRequestStates]
IIOAudioControl;[ValueChangeHandlerType, ValueChangeHandlerType]
IIOPowerSources;[IOPSLowBatteryWarningLevel, IOPSLowBatteryWarningLevel]
IvBLAS;[, , , , , , , , , ]
IIOBluetoothInternal;[IOBluetoothHCIControllerConfigState, IOBluetoothHCIControllerSleepOptions, IOBluetoothHCIControllerConfigState, IOBluetoothHCIControllerSleepOptions]
IXGResource;[XGResourceState, XGResourceState]
IIOMemoryDescriptor;[IODirection, IODirection]
Igssd_mach_types;[mechtype, mechtype]
IISyncClient;[__ISyncStatus, __ISyncStatus]
INSOpenGL;[NSOpenGLGlobalOption, NSOpenGLContextParameter, NSOpenGLGlobalOption, NSOpenGLContextParameter]
