kATSUOutputBufferTooSmallErr;IMacErrors
kCGLFEglMultiTexCoord1fv;ICGLProfilerFunctionEnum
kMenuDiamondGlyph;IMenus
kTextFlushRight;ITextCommon
kTPInterfaceUCLLIsoReqComplete;IUSBTracepoints
kSCStatusFailed;ISystemConfiguration
gPESerialBaud;Ipexpert
menuNotFoundErr;IMacErrors
kDRMacExtendedFinderFlags;IDRContentProperties
kSecAttrProtocolAFP;ISecItem
NSAscendingPageOrder;INSPrintOperation
kFontCustom16BitScript;ISFNTTypes
CGLGetGlobalOption;IOpenGL
eDSNullDirNodeTypeList;IDirServicesTypes.tDirStatus
kTextEncodingDOSGreek1;ITextCommon
kTextEncodingDOSGreek2;ITextCommon
DRDeviceCanWriteDVDPlusRKey;IDRDevice
task_threads;Itask
fsmBadFSDVersionErr;IMacErrors
notInitErr;IMacErrors
verSami;IScript
kTPHSHubUCPutPortIntoTestMode;IUSBTracepoints
kHIDUsage_Csmr_TrackingDecrement;IIOHIDUsageTables
eDSInvalidDirRef;IDirServicesTypes.tDirStatus
NSGlyphAttributeSoft;INSLayoutManager
kHIDUsage_VR_BodySuit;IIOHIDUsageTables
NSCompositeHighlight;INSGraphics
kHIDUsage_WD_ScaleStatusInMotion;IIOHIDUsageTables
spVidNamesDir;IIOMacOSVideo
kHIDUsage_BCS_EnableCheckDigitTransmit;IIOHIDUsageTables
kCGLFEglColor4dv;ICGLProfilerFunctionEnum
kINQUIRY_Byte5_PROTECT_Bit;ISCSICmds_INQUIRY_Definitions
DRUDFExtendedFilePermissions;IDRFSObject
IFNET_FAMILY_FAITH;Ikpi_interface
smDisposePErr;IMacErrors
langBurmese;IScript
kSRNotImplementedYet;ISpeechRecognition
NSCompositePlusDarker;INSGraphics
kODMatchAny;ICFOpenDirectoryConstants
kCTUnderlinePatternDashDotDot;ICTStringAttributes
errFSNotAFolder;IMacErrors
kCGLFEglProgramEnvParameter4fARB;ICGLProfilerFunctionEnum
kCGLFEglPopClientAttrib;ICGLProfilerFunctionEnum
afpNoServer;IMacErrors
DRDeviceFirmwareRevisionKey;IDRDevice
Y;Iglsmapint
EVNOP;IIOHIDTypes.EvCmd
kSecAsn1SetOfT61StringTemplate;ISecAsn1Templates
X;Iglsmapint
kIOPMLowestState;IIOPM
noPortErr;IMacErrors
Z;Iglsmapint
smEastEurRoman;IScript
NSURLHasHiddenExtensionKey;INSURL
verIreland;IScript
O_TCPFLAGS;Iip_fw2.ipfw_opcodes
kSENSE_DATA_VALID;ISCSICmds_REQUEST_SENSE_Defs
langGreekAncient;IScript
kBluetoothPacketTypeHV2;IBluetooth
kBluetoothPacketTypeHV1;IBluetooth
O_NOP;Iip_fw2.ipfw_opcodes
kCGLFEglMultiTexCoord1iv;ICGLProfilerFunctionEnum
kIOUSBHubPowerStateOff;IIOUSBHubPolicyMaker
DRJoliet;IDRFSObject
ATSUClearLayoutCache;IATSUnicodeObjects
kCGLFEglColor4fv;ICGLProfilerFunctionEnum
kAVCSignalModeSD625_50;IIOFireWireAVCConsts.IOAVCOpcodes
kDRVolumeEffectiveDate;IDRContentProperties
KTPOHCIPowerState;IUSBTracepoints
kRAStartupFailed;IMacErrors
kIOPCIConfigAGPCommandOffset;IIOAGPDevice
CGLGetPBufferRetainCount;IOpenGL
kHubPortHighSpeed;IUSBHub
NSSysReqFunctionKey;INSEvent
kControlTabDirectionSouth;IHITabbedView
kvImageTruncateKernel;IvImage_Types
NSPrintJobSavingURL;INSPrintInfo
kHIDUsage_Csmr_LongPlay;IIOHIDUsageTables
kCGLFEglColorSubTable;ICGLProfilerFunctionEnum
errCouldntSetFocus;IMacErrors
kHIDUsage_BS_SMBSelectorInfo;IIOHIDUsageTables
O_ESTAB;Iip_fw2.ipfw_opcodes
NSInsertCharFunctionKey;INSEvent
bNoMiniFndr;IFiles
kCGLFEglDeleteLists;ICGLProfilerFunctionEnum
kBluetoothSDPUUID16HTTP;IBluetoothAssignedNumbers
IOFBSet888To256Table;IIOGraphicsLib
TASK_GRAPHICS_SERVER;Itask_policy.task_role
kCGLFEglColor4iv;ICGLProfilerFunctionEnum
kNSpTopologyNotSupportedErr;IMacErrors
kWindowUtilitySideTitleDefProcResID;IMacWindows
errKCItemNotFound;IMacErrors
kUnicode32BitFormat;ITextCommon
menuPropertyNotFoundErr;IMacErrors
mouseUp;IEvents
kCGNumberOfWindowLevelKeys;ICGWindowLevel
kHIDInvertedUsageRangeErr;IIOHIDDescriptorParser
smMiddleByte;IScript
kTextEncodingDOSArabic;ITextCommon
VT_AFP;Ivnode.vtagtype
VT_AFS;Ivnode.vtagtype
kSecIdentityDomainKerberosKDC;ISecIdentity
rcDBBadType;IMacErrors
notPatXor;IQuickdrawTypes
kIOHIDElementFlagsBufferedByteMask;IIOHIDKeys
kIOATASectorCount8Bit;IIOATAStorageDefines
kCGLFEglRasterPos2sv;ICGLProfilerFunctionEnum
kCGLFEglMultiTexCoord1dv;ICGLProfilerFunctionEnum
redBit;IQuickdrawTypes
semaphore_destroy;Itask
DRPreGapLengthKey;IDRTrack
kTPUHCIUpdateFrameList;IUSBTracepoints
eFWGetDirNodeNameErr4;IDirServicesTypes.tDirStatus
kSCSIServiceResponse_Request_In_Process;ISCSITask.SCSIServiceResponse
kControlRelevanceBarProc;IHIProgressViews
eFWGetDirNodeNameErr3;IDirServicesTypes.tDirStatus
eFWGetDirNodeNameErr2;IDirServicesTypes.tDirStatus
eFWGetDirNodeNameErr1;IDirServicesTypes.tDirStatus
invalidChunkNum;IMacErrors
kATAIdentifyExtendedInfoSupport;IIOATAStorageDefines
kmod_create;Ihost_priv
NSToolbarDidRemoveItemNotification;INSToolbar
eParameterReceiveError;IDirServicesTypes.tDirStatus
NSPauseFunctionKey;INSEvent
